agent_0,agent_1,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,return
0.475,0.535,0.435,0.42,0.47,0.49,0.415,0.435,0.445,0.435,0.515,0.4,0.49,0.475,0.54,0.53,0.475,0.46,0.505,0.445,16488.0
0.525,0.485,0.52,0.435,0.47,0.535,0.485,0.465,0.47,0.49,0.44,0.555,0.55,0.46,0.475,0.47,0.5,0.565,0.51,0.51,16068.0
0.505,0.49,0.51,0.515,0.495,0.445,0.495,0.44,0.44,0.495,0.5,0.46,0.475,0.52,0.45,0.44,0.435,0.48,0.49,0.495,16340.0
0.49,0.465,0.465,0.38,0.5,0.51,0.44,0.495,0.485,0.45,0.465,0.485,0.5,0.435,0.45,0.4,0.495,0.46,0.425,0.51,16556.0
0.465,0.505,0.445,0.375,0.495,0.44,0.445,0.475,0.43,0.49,0.455,0.42,0.545,0.47,0.53,0.55,0.46,0.52,0.515,0.465,16404.0
0.52,0.535,0.43,0.43,0.525,0.5,0.475,0.505,0.51,0.515,0.495,0.5,0.53,0.525,0.45,0.455,0.48,0.475,0.52,0.505,16096.0
0.5,0.465,0.525,0.495,0.47,0.505,0.565,0.49,0.53,0.465,0.45,0.485,0.47,0.485,0.455,0.485,0.485,0.49,0.43,0.47,16228.0
0.46,0.465,0.51,0.445,0.425,0.46,0.465,0.51,0.465,0.525,0.48,0.45,0.52,0.5,0.49,0.485,0.525,0.51,0.47,0.515,16260.0
0.485,0.535,0.49,0.425,0.505,0.455,0.565,0.435,0.44,0.48,0.505,0.54,0.42,0.435,0.58,0.5,0.475,0.465,0.465,0.45,16280.0
0.455,0.47,0.405,0.385,0.4,0.435,0.38,0.37,0.435,0.445,0.39,0.41,0.435,0.445,0.405,0.43,0.42,0.4,0.46,0.47,17244.0
0.43,0.46,0.405,0.42,0.435,0.46,0.48,0.435,0.47,0.435,0.385,0.49,0.4,0.41,0.445,0.395,0.445,0.38,0.395,0.485,17072.0
0.415,0.41,0.475,0.46,0.425,0.435,0.41,0.445,0.385,0.42,0.445,0.405,0.435,0.415,0.405,0.375,0.465,0.425,0.425,0.43,17196.0
0.475,0.385,0.465,0.4,0.395,0.43,0.44,0.43,0.46,0.43,0.385,0.44,0.395,0.39,0.415,0.46,0.42,0.4,0.41,0.425,17240.0
0.445,0.485,0.405,0.455,0.405,0.425,0.385,0.485,0.46,0.36,0.445,0.39,0.425,0.385,0.465,0.44,0.435,0.41,0.445,0.46,17112.0
0.445,0.44,0.4,0.46,0.455,0.405,0.405,0.39,0.46,0.39,0.455,0.465,0.42,0.455,0.375,0.405,0.45,0.41,0.4,0.405,17208.0
0.425,0.425,0.415,0.435,0.435,0.52,0.45,0.4,0.41,0.465,0.465,0.435,0.42,0.41,0.4,0.35,0.44,0.48,0.415,0.43,17100.0
0.48,0.48,0.505,0.44,0.44,0.41,0.46,0.44,0.395,0.42,0.425,0.385,0.45,0.365,0.415,0.405,0.37,0.395,0.465,0.4,17164.0
0.43,0.425,0.46,0.43,0.425,0.4,0.405,0.415,0.385,0.395,0.44,0.435,0.48,0.455,0.455,0.41,0.365,0.38,0.395,0.48,17228.0
0.45,0.43,0.415,0.42,0.415,0.395,0.35,0.425,0.41,0.36,0.415,0.475,0.455,0.445,0.42,0.36,0.39,0.47,0.445,0.42,17308.0
0.285,0.315,0.295,0.355,0.295,0.315,0.405,0.375,0.385,0.34,0.305,0.33,0.27,0.315,0.325,0.36,0.355,0.325,0.325,0.33,18716.0
0.33,0.365,0.33,0.32,0.345,0.285,0.36,0.33,0.405,0.345,0.3,0.29,0.355,0.31,0.35,0.42,0.325,0.355,0.315,0.315,18600.0
0.34,0.335,0.39,0.32,0.395,0.37,0.395,0.325,0.31,0.33,0.36,0.385,0.315,0.36,0.355,0.3,0.265,0.395,0.32,0.37,18452.0
0.39,0.385,0.315,0.375,0.32,0.36,0.37,0.32,0.31,0.38,0.36,0.37,0.33,0.275,0.38,0.305,0.345,0.3,0.285,0.32,18564.0
0.325,0.36,0.38,0.365,0.315,0.355,0.28,0.335,0.345,0.32,0.335,0.345,0.35,0.375,0.345,0.315,0.355,0.325,0.375,0.34,18528.0
0.375,0.335,0.305,0.34,0.33,0.335,0.275,0.325,0.35,0.37,0.38,0.32,0.28,0.335,0.265,0.305,0.35,0.335,0.335,0.35,18724.0
0.295,0.385,0.305,0.33,0.385,0.37,0.325,0.29,0.42,0.325,0.32,0.33,0.345,0.38,0.315,0.305,0.335,0.36,0.32,0.32,18592.0
0.33,0.415,0.29,0.34,0.355,0.325,0.315,0.34,0.255,0.295,0.335,0.34,0.35,0.365,0.315,0.37,0.285,0.345,0.38,0.35,18644.0
0.325,0.375,0.375,0.365,0.405,0.32,0.385,0.3,0.395,0.395,0.355,0.355,0.315,0.36,0.365,0.32,0.325,0.315,0.35,0.29,18408.0
0.36,0.39,0.41,0.36,0.41,0.315,0.245,0.315,0.33,0.37,0.36,0.335,0.27,0.325,0.31,0.32,0.315,0.295,0.27,0.37,18660.0
0.265,0.275,0.24,0.225,0.305,0.24,0.19,0.26,0.25,0.28,0.24,0.305,0.255,0.315,0.245,0.235,0.25,0.28,0.295,0.22,19864.0
0.215,0.32,0.29,0.275,0.275,0.24,0.265,0.3,0.315,0.26,0.28,0.295,0.25,0.215,0.26,0.25,0.215,0.235,0.29,0.305,19720.0
0.36,0.21,0.265,0.285,0.29,0.27,0.295,0.28,0.305,0.22,0.21,0.285,0.285,0.25,0.25,0.24,0.265,0.29,0.265,0.255,19700.0
0.26,0.195,0.255,0.265,0.22,0.305,0.24,0.255,0.285,0.27,0.27,0.26,0.235,0.225,0.275,0.245,0.29,0.325,0.275,0.27,19824.0
0.28,0.205,0.25,0.245,0.29,0.265,0.26,0.29,0.225,0.27,0.315,0.355,0.285,0.265,0.27,0.275,0.285,0.28,0.32,0.305,19572.0
0.3,0.265,0.28,0.255,0.305,0.295,0.265,0.315,0.245,0.23,0.265,0.2,0.325,0.325,0.33,0.225,0.33,0.285,0.295,0.315,19480.0
0.315,0.255,0.26,0.315,0.245,0.235,0.205,0.225,0.3,0.26,0.195,0.27,0.225,0.22,0.255,0.295,0.25,0.25,0.3,0.255,19896.0
